Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
03/14/2004,0.46,0.48,0.49,0.45,2230000000,0.0431,1109.78,-0.0096,304.50,-0.0274
03/21/2004,0.48,0.45,0.49,0.45,2220000000,0.0008,1108.06,-0.0015,311.10,0.0218
03/28/2004,0.49,0.49,0.5,0.48,1690000000,0.0405,1141.81,0.0305,325.80,0.0472
04/04/2004,0.49,0.49,0.51,0.48,1140000000,0.0375,1139.32,-0.0022,323.20,-0.0081
04/11/2004,0.52,0.49,0.53,0.47,3480000000,0.0050,1134.61,-0.0041,312.50,-0.0329
04/18/2004,0.49,0.5,0.51,0.48,2050000000,-0.0048,1140.60,0.0053,323.20,0.0341
04/25/2004,0.46,0.49,0.49,0.46,1670000000,0.0259,1107.30,-0.0292,299.50,-0.0732
05/02/2004,0.48,0.46,0.49,0.46,1510000000,0.0215,1098.70,-0.0078,303.80,0.0142
05/09/2004,0.48,0.47,0.49,0.46,1290000000,0.0302,1095.70,-0.0027,302.10,-0.0056
05/16/2004,0.48,0.48,0.49,0.47,1260000000,-0.0186,1093.56,-0.0020,304.10,0.0066
05/23/2004,0.5,0.49,0.51,0.48,1260000000,0.0273,1120.68,0.0248,314.30,0.0335
05/30/2004,0.51,0.5,0.52,0.49,1150000000,-0.0149,1122.50,0.0016,311.50,-0.0087
06/06/2004,0.55,0.52,0.55,0.51,1320000000,-0.0179,1136.47,0.0124,318.80,0.0232
06/13/2004,0.59,0.55,0.6,0.53,2560000000,0.0255,1135.02,-0.0013,314.20,-0.0142
06/20/2004,0.6,0.59,0.6,0.57,1760000000,-0.0035,1134.43,-0.0005,319.50,0.0168
06/27/2004,0.55,0.61,0.61,0.53,2740000000,-0.0045,1125.38,-0.0080,313.60,-0.0186
07/04/2004,0.54,0.56,0.56,0.53,1190000000,0.0319,1112.81,-0.0112,305.40,-0.0259
07/11/2004,0.57,0.54,0.6,0.51,3940000000,-0.0044,1101.39,-0.0103,291.30,-0.0464
07/18/2004,0.55,0.57,0.58,0.54,1770000000,0.0313,1086.20,-0.0138,290.60,-0.0023
07/25/2004,0.58,0.55,0.59,0.55,1570000000,0.0137,1101.72,0.0143,298.60,0.0274
08/01/2004,0.53,0.56,0.58,0.53,1590000000,0.0861,1063.97,-0.0343,281.90,-0.0559
